word,frequency
x,[41616]
n,[26846]
t,[12938]
f,[11759]
co,[11098]
array,[10634]
dtype,[10634]
object,[10634]
https,[8833]
vote,[6024]
s,[3961]
pcas,[3193]
the,[2661]
beto,[2597]
i,[2366]
nhttps,[2230]
bts,[2226]
texas,[2080]
a,[1986]
xa,[1906]
people,[1822]
c,[1689]
m,[1685]
voting,[1685]
d,[1679]
k,[1671]
amp,[1659]
choice,[1598]
of,[1543]
tedcruz,[1481]
b,[1422]
day,[1314]
betoorourke,[1271]
awards,[1248]
o,[1186]
nvote,[1112]
texastownhall,[1098]
-,[1072]
txsen,[1072]
we,[1068]
endorsed,[1059]
rourke,[1050]
choosecruz,[1027]
e,[1019]
senate,[950]
to,[883]
cruz,[882]
texasdebate,[869]
keeptexasred,[827]
twt,[822]
ted,[800]
oil,[760]
time,[745]
rt,[737]
in,[728]
daily,[717]
rts,[704]
nthe,[703]
ntweet,[696]
nestimate,[685]
stat,[685]
thegroup,[671]
race,[665]
nlast,[654]
group,[650]
you,[641]
need,[625]
it,[622]
superjunior,[619]
houston,[612]
state,[594]
let,[591]
get,[581]
gun,[579]
maga,[567]
chronicle,[566]
thescififantasyshow,[559]
us,[554]
last,[552]
idol,[552]
retweet,[530]
votes,[523]
president,[506]
wynonnaearp,[502]
shows,[500]
every,[495]
choose,[491]
sjofficial,[480]
didn,[472]
he,[471]
hours,[467]
if,[459]
trump,[453]
this,[451]
control,[442]
betofortexas,[441]
favor,[435]
they,[432]
borders,[432]
take,[426]
today,[425]
open,[423]
even,[422]
things,[422]
record,[421]
did,[421]
tax,[416]
pm,[414]
think,[412]
voterepublican,[402]
facts,[398]
claimed,[394]
-a-barrel,[394]
make,[393]
stubborn,[393]
single,[389]
social,[386]
want,[386]
realdonaldtrump,[368]
tour,[366]
taxes,[365]
go,[362]
like,[362]
help,[358]
supporting,[356]
breaking,[356]
higher,[355]
nobody,[354]
gas,[350]
concert,[346]
surprise,[345]
country,[342]
dem,[338]
winning,[338]
plus,[337]
w,[334]
progressive,[333]
impeaching,[332]
left-wing,[330]
chron,[330]
prayer,[330]
dunapologetic,[330]
unmentioned,[330]
mfozeapc,[330]
times,[325]
voted,[325]
keep,[324]
and,[323]
cruzcrew,[321]
left,[320]
video,[318]
endorses,[315]
song,[313]
tweet,[307]
celebrity,[305]
music,[302]
booming,[300]
thesong,[293]
watch,[291]
please,[291]
early,[289]
don,[288]
nmake,[286]
thesocialcelebrity,[286]
theconcerttour,[282]
also,[281]
nov,[281]
is,[280]
one,[278]
th,[274]
sure,[272]
u,[271]
de,[270]
all,[270]
patriots,[267]
themusicvideo,[264]
republican,[260]
duxewfrdrv,[257]
mbkagvfgw,[257]
texans,[256]
p,[253]
red,[252]
y,[247]
not,[245]
harder,[244]
star,[244]
would,[242]
themaletvstar,[239]
harryshumjr,[237]
up,[237]
j,[236]
do,[236]
supershow,[235]
support,[234]
on,[231]
potus,[231]
count,[230]
voteblue,[229]
al,[229]
democrats,[223]
walkaway,[223]
just,[221]
midterms,[220]
pca,[216]
oct,[215]
ends,[212]
cnn,[211]
another,[211]
right,[211]
betoforsenate,[208]
q,[208]
much,[207]
so,[206]
must,[205]
backwards,[205]
no,[205]
many,[205]
wake,[204]
retweets,[200]
know,[200]
together,[200]
remember,[199]
lone,[198]
blue,[198]
who,[198]
coming,[197]
yx,[196]
wants,[195]
for,[194]
kst,[193]
nlet,[193]
en,[193]
says,[192]
american,[192]
v,[191]
oov,[191]
hnpjoz,[191]
vetobeto,[190]
man,[190]
stop,[188]
online,[186]
less,[186]
nwe,[185]
where,[184]
said,[184]
someone,[183]
half,[182]
para,[182]
power,[180]
h,[178]
atslhlr,[178]
remaining,[178]
guy,[178]
government,[177]
qruyzwtmo,[176]
wall,[176]
really,[175]
l,[174]
plan,[174]
work,[174]
life,[174]
armys,[173]
gop,[173]
hashtags,[173]
nra,[173]
votered,[172]
peopleschoice,[172]
america,[171]
por,[170]
care,[169]
little,[167]
rally,[166]
re,[165]
que,[165]
follow,[164]
laws,[164]
final,[162]
election,[161]
november,[160]
have,[160]
votar,[160]
everyone,[160]
gets,[160]
way,[159]
la,[155]
ugcqec,[154]
kfqhhmwwro,[154]
twitter,[154]
ve,[154]
per,[153]
theresistance,[153]
bluewave,[152]
good,[152]
california,[151]
polls,[151]
border,[150]
tedapvdtd,[150]
kjzpf,[150]
fbrparty,[150]
that,[149]
crowd,[149]
nplease,[148]
teambeto,[148]
lwgxd,[148]
eoxq,[148]
cast,[147]
around,[146]
amkhrdsj,[146]
est,[146]
tonight,[144]
share,[144]
worth,[143]
monday,[140]
as,[139]
close,[139]
las,[138]
win,[134]
msnbc,[134]
votetedcruz,[133]
voteredtosaveamerica,[133]
houstonchron,[131]
now,[131]
xada,[131]
g,[130]
thing,[130]
obama,[130]
supports,[129]
senator,[129]
current,[129]
next,[128]
starts,[128]
website,[127]
thank,[127]
nd,[127]
world,[127]
can,[126]
see,[126]
name,[126]
folks,[126]
year,[125]
security,[125]
newspaper,[125]
quick,[124]
new,[124]
love,[123]
tap,[123]
el,[123]
fort,[123]
better,[122]
lies,[122]
xad,[121]
votos,[120]
ass,[120]
link,[119]
nretweet,[119]
anyone,[118]
town,[118]
categor,[117]
republicans,[116]
nif,[116]
hall,[115]
horas,[115]
guys,[115]
cruztovictory,[115]
kzqqpestah,[114]
gt,[114]
politician,[114]
first,[113]
never,[113]
home,[113]
shawnmendes,[111]
days,[111]
calls,[111]
straight,[110]
redwave,[110]
end,[110]
deal,[110]
yahoo,[110]
enough,[109]
officially,[109]
r,[108]
--,[108]
born,[108]
congress,[107]
nwake,[107]
could,[107]
explains,[107]
largest,[107]
qanon,[106]
uk,[106]
jobs,[105]
what,[105]
ca,[103]
stand,[103]
thiiiiissssss,[103]
orqdppm,[103]
circulation,[103]
hang,[103]
dddbu,[103]
xbt,[103]
countries,[102]
anti,[102]
phony,[101]
garway,[101]
electric,[101]
democratic,[100]
nhe,[100]
nand,[99]
october,[99]
mr,[99]
windows,[99]
hey,[99]
keepsd,[99]
kzqqpekuzh,[98]
missed,[96]
community,[96]
dems,[96]
build,[96]
will,[96]
needs,[96]
nickname,[96]
beta,[95]
washington,[95]
hour,[95]
say,[94]
party,[94]
drunken,[94]
crook,[94]
show,[94]
menos,[94]
visions,[93]
becoming,[93]
staring,[93]
needles,[93]
turds,[93]
fellers,[93]
sneaking,[93]
contaminating,[93]
cfnfaaxdzf,[93]
age,[93]
fired,[93]
votaciones,[93]
states,[92]
pay,[92]
paso,[92]
voter,[91]
tweets,[90]
commit,[90]
ywqvfvm,[90]
ballot,[90]
agenda,[90]
there,[90]
votethemout,[90]
nbeto,[90]
cthe,[90]
tenemos,[90]
thebingeworthyshow,[89]
immigration,[89]
mother,[89]
built,[89]
tres,[89]
forget,[88]
pelosi,[88]
jobsnotmobs,[88]
poll,[88]
done,[88]
random,[88]
cierren,[88]
ni,[87]
live,[87]
going,[87]
streets,[86]
declined,[86]
hire,[86]
flw,[86]
wwg,[86]
vamos,[85]
socialist,[85]
socialists,[85]
token,[85]
dying,[85]
invited,[85]
attend,[85]
nationally,[85]
televised,[85]
nwould,[85]
look,[85]
wga,[85]
nrt,[84]
resist,[84]
health,[84]
dm,[84]
cares,[84]
working,[84]
back,[83]
medicare,[83]
great,[83]
use,[83]
shadowhunters,[83]
at,[82]
ai,[82]
rmeb,[82]
won,[82]
your,[82]
accounts,[82]
safety,[82]
she,[81]
nbd,[81]
texan,[81]
schumer,[81]
shp,[81]
veterans,[81]
web,[81]
earpers,[80]
soros,[80]
using,[80]
fellow,[80]
child,[80]
called,[80]
kag,[80]
michael,[80]
stay,[79]
proud,[78]
congressman,[78]
stupid,[78]
politics,[77]
z,[77]
family,[77]
cbeto,[77]
poor,[77]
au,[76]
oh,[76]
problem,[76]
voters,[76]
tournament,[76]
wannaone,[76]
conservatives,[76]
focus,[76]
nvamos,[76]
noms,[75]
eugbm,[75]
away,[75]
impeach,[75]
means,[75]
when,[75]
best,[75]
send,[75]
got,[74]
truthmaga,[74]
understand,[74]
turn,[73]
unity,[73]
elected,[73]
buy,[73]
seen,[73]
instead,[73]
democrat,[72]
yeah,[72]
los,[72]
taxing,[72]
amazing,[72]
keepamericagreat,[72]
elf,[72]
ll,[72]
raised,[72]
nsend,[72]
army,[72]
long,[72]
outlander,[71]
free,[71]
luluhru,[71]
years,[71]
debate,[71]
redwaverising,[70]
our,[70]
staceyabrams,[70]
governor,[70]
lifelong,[70]
facebook,[70]
word,[69]
law,[69]
fbr,[69]
earned,[69]
robert,[69]
smeared,[69]
effing,[69]
crobert,[69]
donated,[69]
americans,[69]
esta,[69]
nit,[68]
my,[68]
matters,[68]
dazipstahh,[68]
tired,[68]
out,[68]
honesty,[68]
full,[67]
qc,[67]
message,[67]
with,[66]
woman,[66]
thanks,[66]
official,[66]
xcgha,[66]
campaign,[66]
rgwylraxky,[66]
rzctn,[66]
running,[65]
well,[65]
candidates,[65]
two,[65]
nitemare,[65]
kellsbellssc,[65]
thecountryartist,[65]
gs,[65]
ready,[65]
checks,[65]
oz,[65]
flow,[65]
thefemaleartist,[65]
head,[64]
push,[64]
email,[64]
part,[64]
united,[64]
tell,[64]
flag,[64]
raising,[64]
easily,[64]
primaries,[64]
sejlf,[64]
ny,[64]
chance,[64]
everything,[63]
immediately,[63]
york,[63]
person,[62]
pi,[62]
harrystyles,[62]
thestylestar,[62]
benefit,[62]
background,[62]
honestly,[62]
post,[61]
bighoov,[61]
redheadladyny,[61]
opposed,[61]
question,[61]
nickiminaj,[61]
voice,[60]
fxspyoz,[60]
anything,[60]
es,[60]
heyitsmecarolyn,[60]
hashtag,[60]
disarming,[60]
domestic,[60]
abusers,[60]
banning,[60]
bump,[60]
stocks,[60]
lobbyists,[60]
kqfkr,[60]
yes,[60]
still,[59]
kids,[59]
dbargen,[59]
wydoin,[59]
buzzman,[59]
texascornhuske,[59]
trumpstersu,[59]
qmagamike,[59]
rl,[59]
texasrecks,[59]
nwhdw,[59]
blakeshelton,[59]
bc,[59]
rgv,[59]
belongs,[59]
kavanaugh,[59]
candidate,[59]
georgia,[59]
hands,[59]
history,[59]
ht,[58]
saying,[58]
doesn,[58]
likes,[58]
yv,[58]
low,[58]
too,[58]
nation,[58]
vfuxa,[58]
district,[57]
outstanding,[57]
fight,[57]
nyou,[57]
hate,[56]
category,[56]
pro,[56]
protect,[56]
bankrupt,[56]
mobs,[55]
medicare-for-all,[55]
deported,[55]
beating,[55]
votebeto,[55]
justice,[55]
goodmedicine,[55]
pmvd,[54]
thealbum,[54]
tomorrow,[53]
join,[53]
important,[53]
eastern,[53]
award,[53]
give,[53]
mexico,[53]
elfeus,[52]
bring,[52]
fake,[52]
again,[52]
altimo,[52]
briteeye,[52]
nlink,[51]
lose,[51]
clahnmkr,[51]
absolutely,[51]
here,[51]
attitude,[51]
caravan,[51]
rights,[51]
faux,[51]
cjdtwit,[51]
therevivalshow,[50]
site,[50]
northdakota,[50]
heck,[50]
gained,[50]
traction,[50]
via,[50]
night,[50]
taken,[50]
check,[50]
gotv,[50]
cuomo,[50]
unpatriotic,[50]
pompous,[50]
dynasty,[50]
marcmolinaro,[50]
ntlr,[50]
lwcza,[50]
cuenta,[50]
patriotsunited,[50]
doingright,[50]
cskygulv,[50]
vkh,[50]
bigger,[49]
heidiheitkamp,[49]
bluetsunami,[49]
isis,[49]
caught,[49]
lead,[49]
zubm,[49]
teamabrams,[49]
ef,[49]
past,[49]
fitnerd,[49]
pepenstein,[49]
americafirst,[48]
universal,[48]
knows,[48]
read,[48]
believe,[48]
how,[48]
donate,[48]
clear,[48]
violence,[48]
radical,[48]
bigdirtyhair,[48]
bestrdsp,[48]
paulied,[48]
ceebaten,[48]
cococupcake,[48]
billarcia,[48]
lrod,[48]
sunserger,[48]
greeneyedcate,[48]
soncyc,[48]
atq,[48]
matter,[47]
type,[47]
sent,[47]
scotus,[47]
elect,[47]
ntwitter,[47]
opportunity,[47]
tx,[47]
mom,[47]
are,[46]
thefemaletvstar,[46]
saveshadowhunters,[46]
followers,[46]
seek,[46]
ensure,[46]
konniburton,[46]
mentioned,[45]
elections,[45]
action,[45]
before,[45]
powerful,[45]
tweeting,[45]
metoo,[45]
prosperity,[45]
truth,[45]
true,[45]
fantastic,[45]
nto,[45]
takes,[44]
rely,[44]
come,[44]
may,[44]
spot,[44]
emails,[44]
votebluetosaveamerica,[44]
it-,[44]
nathanlerner,[44]
azzka,[44]
find,[43]
friends,[43]
sheriffs,[43]
talking,[43]
ok,[43]
constitution,[43]
closing,[43]
statement,[43]
divide,[43]
overlimit,[42]
defined,[42]
making,[42]
god,[42]
male,[42]
call,[42]
white,[42]
duo,[42]
gaqgfwp,[42]
black,[42]
usa,[42]
gina,[42]
fun,[42]
n-,[42]
onedayatatime,[41]
lying,[41]
money,[41]
getting,[41]
liar,[41]
ever,[41]
dont,[41]
bloomberg,[41]
loud,[41]
yet,[41]
inspire,[41]
firing,[41]
fcsmolzgru,[40]
timesssss,[40]
tlsmudfr,[40]
hand,[40]
behind,[40]
factor,[40]
counties,[40]
fears,[40]
ambitions,[40]
kwynh,[40]
roj,[40]
rubber,[40]
stamp,[40]
guaranteed,[40]
prescriptions,[40]
categories,[40]
czm,[40]
reply,[40]
old,[40]
retweeting,[40]
nothing,[40]
onfire,[40]
yg,[40]
xbzm,[40]
katherinemcnamara,[39]
always,[39]
flipthesenate,[39]
terrorists,[39]
guatemala,[39]
typical,[39]
rattled,[39]
backs,[39]
caup,[39]
eqwm,[39]
hyrwbiw,[39]
kzj,[39]
mwave,[39]
idols,[39]
movement,[39]
midtermelections,[39]
florida,[39]
john,[39]
news,[39]
house,[39]
stake,[39]
lifetime,[39]
am,[39]
stp,[39]
smavic,[39]
na,[38]
put,[38]
complacent,[38]
nnobody,[38]
mx,[38]
big,[38]
k-stars,[38]
ntop,[38]
k-pop,[38]
nkang,[38]
daniel,[38]
cdbofqx,[38]
kangdaniel,[38]
kvduwk,[38]
asylum,[38]
talk,[38]
narmy,[38]
registered,[37]
votedemsout,[37]
provisional,[37]
corrupt,[37]
lost,[37]
notice,[37]
afford,[37]
whenweallvote,[37]
listening,[37]
melaniescrofano,[37]
north,[37]
album,[37]
wo,[37]
speak,[37]
millions,[37]
parent,[37]
these,[37]
medicaid,[37]
depends,[37]
national,[37]
racism,[36]
local,[36]
second,[36]
probably,[36]
mv,[36]
account,[36]
sentedcruz,[36]
from,[36]
witnesstour,[36]
bias,[36]
women,[36]
nnow,[36]
shock,[36]
